,href,text
109,https://www.sports.ru//skiing/1114206731-glava-telesporta-ob-otsutstvii-translyaczij-kubka-rossii-po-lyzham-pro.html,"Глава «Телеспорта» об отсутствии трансляций Кубка России по лыжам: «Проблемы нет. Если Губерниев меньше чесать языком будет, люди меньше будут волноваться»"
110,https://www.sports.ru//football/1114206214-kan-ob-oshibke-v-finale-chm-2002-s-braziliej-dva-milliarda-lyudej-nabl.html,"Кан об ошибке в финале ЧМ-2002 с Бразилией: «Два миллиарда людей наблюдали за моим провалом. Фанаты соперников кричали по-обезьяньи, бросали в меня бананы много лет»"
111,https://www.sports.ru//football/1114205815-gennadij-orlov-u-paredesa-otriczatelnoe-ego-na-pole-on-vedet-sebya-kak.html,"Геннадий Орлов: «У Паредеса отрицательное эго. На поле он ведет себя как бандит, не умеет отбирать мяч. Про таких в народе говорят – «отмороженный»"
112,https://www.sports.ru//football/1114205549-chzho-gyu-son-o-stychke-s-ronaldu-nam-ochen-nuzhno-bylo-zabit-a-ronald.html,"Чжо Гю Сон о стычке с Роналду: «Нам нужно было забить, а он медленно уходил с поля. Сказал ему по-английски: «Быстрее»"
113,https://www.sports.ru//figure-skating/1114205729-zagitova-o-pobede-v-golosovanii-za-luchshuyu-vedushhuyu-dazhe-ne-verit.html,"Загитова о победе в голосовании за лучшую ведущую: «Даже не верится, что я получаю эту награду третий год подряд»"
114,https://www.sports.ru//basketball/1114205955-dmitrij-peskov-brittni-grajner-vypolnila-vse-neobxodimye-dlya-pomilova.html,Дмитрий Песков: «Бриттни Грайнер выполнила все необходимые для помилования процедуры»
115,https://www.sports.ru//football/1114205164-skaloni-o-kritike-povedeniya-igrokov-argentiny-my-umeem-i-proigryvat-i.html,"Скалони о критике поведения игроков Аргентины: «Мы умеем и проигрывать, и побеждать. Уступив Саудовской Аравии, мы спокойно отправились в отель»"
116,https://www.sports.ru//athletics/1114205461-tyagachev-o-prizyve-nok-ssha-dopustit-rossiyan-k-olimpiade-eto-prosto-.html,"Тягачев о призыве НОК США допустить россиян к Олимпиаде: «Это просто блеф, я устал от этого вранья»"
117,https://www.sports.ru//football/1114205440-timber-o-zimnem-chm-dumayu-etot-opyt-stoit-povtorit-igroki-podoshli-k-.html,"Тимбер доволен зимним ЧМ: «Мне понравилось играть в декабре. Стоит повторить, думаю»"
118,https://www.sports.ru//athletics/1114205305-dvukratnyj-olimpijskij-chempion-devid-rudisha-vyzhil-pri-krushenii-sam.html,Двукратный олимпийский чемпион Дэвид Рудиша выжил при крушении самолета в Кении
